income;sex;mar-stat;age;edu;occup;yrs-BA;mar-dlinc;num-hsld;children;hsld-stat;typ-home;ethnic;lang
$10,000 to $14,999;Female;Married;18 thru 24;Graduated high school;Homemaker;More than ten years;No;Four;Two;Rent;Other;White;English
$15,000 to $19,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Student, HS or College;Four to six years;Not Married;Four;One;Rent;Other;White;English
$10,000 to $14,999;Female;Divorced or separated;35 thru 44;Grades 9 to 11;Clerical/Service Worker;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;Seven to ten years;Not Married;Four;None;Rent;Other;White;English
Less than $10,000;Male;Single, never married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;Less than one year;Not Married;One;None;Rent;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Less than one year;Not Married;NA;None;Rent;Apartment;White;English
$15,000 to $19,999;Male;Living together, not married;18 thru 24;Graduated high school;Unemployed;More than ten years;Not Married;Two;None;Rent;Other;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Clerical/Service Worker;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;House;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Homemaker;Less than one year;Not Married;Three;One;Rent;Apartment;White;English
$40,000 to $49,999;Female;Married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;Seven to ten years;No;Four;Two;Own;House;Asian;Other
$10,000 to $14,999;Female;Single, never married;35 thru 44;Grad Study;Professional/Managerial;One to three years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;One to three years;Not Married;Four;One;Live with Parents/Family;House;Pacific Islander;English
$25,000 to $29,999;Female;Married;25 thru 34;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;No;Six;Three;Rent;House;Hispanic;English
$20,000 to $24,999;Male;Married;55 thru 64;College graduate;Retired;More than ten years;No;Two;None;Own;House;White;English
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Homemaker;NA;No;Six;Four;NA;House;White;English
$50,000 to $74,999;Female;Married;25 thru 34;Graduated high school;Professional/Managerial;NA;Yes;Four;Two;Rent;Apartment;Asian;English
$15,000 to $19,999;Female;Married;45 thru 54;Grad Study;Retired;More than ten years;No;Two;None;Own;House;White;English
$25,000 to $29,999;Female;Married;18 thru 24;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Three;One;Rent;Apartment;White;English
$20,000 to $24,999;Female;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;One to three years;Yes;Three;One;Rent;NA;White;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;NA;None;Live with Parents/Family;Apartment;Black;English
$25,000 to $29,999;Female;Married;25 thru 34;Grades 9 to 11;Homemaker;Seven to ten years;No;Three;One;Own;House;Hispanic;Spanish
$25,000 to $29,999;Male;Married;25 thru 34;1 to 3 years of college;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Rent;Apartment;Hispanic;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Two;None;Rent;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;Less than one year;Not Married;One;None;Rent;Apartment;White;Other
$15,000 to $19,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;Four to six years;Not Married;One;None;Rent;Apartment;White;English
$25,000 to $29,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;Four to six years;Yes;Three;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;Four to six years;Not Married;Three;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Living together, not married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;One to three years;Not Married;Three;One;Rent;Apartment;White;English
$40,000 to $49,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$25,000 to $29,999;Male;Divorced or separated;35 thru 44;Graduated high school;NA;More than ten years;Not Married;One;None;Own;House;Hispanic;English
$50,000 to $74,999;Female;Living together, not married;35 thru 44;Grad Study;Homemaker;More than ten years;Not Married;Four;Two;Own;House;White;English
$50,000 to $74,999;Female;Living together, not married;35 thru 44;Grad Study;Professional/Managerial;NA;Not Married;Four;Two;NA;House;White;English
$75,000 or more;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;Four to six years;Not Married;Five;None;Live with Parents/Family;Apartment;Hispanic;English
$75,000 or more;Male;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Three;One;Own;House;Hispanic;English
$40,000 to $49,999;Female;Divorced or separated;55 thru 64;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;House;White;English
$75,000 or more;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Seven;None;Live with Parents/Family;House;Asian;Other
Less than $10,000;Female;Living together, not married;18 thru 24;College graduate;Unemployed;Less than one year;No;Four;None;Rent;Apartment;Hispanic;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;Grad Study;Professional/Managerial;More than ten years;Not Married;Three;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;One to three years;Not Married;Four;None;Rent;Other;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;One to three years;Not Married;Five;None;Rent;Other;White;English
$10,000 to $14,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Student, HS or College;One to three years;Not Married;One;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;College graduate;Clerical/Service Worker;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Single, never married;35 thru 44;1 to 3 years of college;Clerical/Service Worker;One to three years;Not Married;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;NA;One to three years;Not Married;Three;None;Rent;Other;White;English
$40,000 to $49,999;Female;Married;25 thru 34;Grad Study;Professional/Managerial;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;Grad Study;Professional/Managerial;One to three years;Not Married;NA;None;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;18 thru 24;College graduate;Unemployed;Less than one year;Not Married;Four;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Married;25 thru 34;1 to 3 years of college;Homemaker;More than ten years;No;Four;Two;Rent;Apartment;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;College graduate;Student, HS or College;One to three years;Not Married;Four;None;Live with Parents/Family;House;Asian;English
$30,000 to $39,999;Female;Married;25 thru 34;Grad Study;Professional/Managerial;One to three years;Yes;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Sales Worker;More than ten years;Not Married;Five;None;Rent;Other;White;English
$15,000 to $19,999;Female;Married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Yes;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Student, HS or College;NA;Not Married;Two;None;Rent;Apartment;White;English
Less than $10,000;Male;Divorced or separated;35 thru 44;1 to 3 years of college;Unemployed;More than ten years;Not Married;One;None;Rent;Other;White;English
$40,000 to $49,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;Four to six years;Yes;Three;One;Rent;NA;White;English
$10,000 to $14,999;Female;Single, never married;45 thru 54;Graduated high school;Student, HS or College;Seven to ten years;Not Married;Two;One;Rent;Apartment;White;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;One to three years;Not Married;One;One;Rent;Apartment;White;English
Less than $10,000;Female;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;One to three years;Not Married;Five;None;Rent;Apartment;White;English
Less than $10,000;Male;Married;18 thru 24;1 to 3 years of college;Student, HS or College;Less than one year;No;Two;None;Rent;Apartment;White;Other
$10,000 to $14,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;NA;None;Rent;Other;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Four;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;One to three years;Not Married;Four;None;Rent;Other;White;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Sales Worker;NA;Not Married;Four;None;Rent;Apartment;White;English
$10,000 to $14,999;Male;Divorced or separated;45 thru 54;Grad Study;Unemployed;More than ten years;Not Married;Two;None;Live with Parents/Family;House;White;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;Four to six years;Not Married;NA;None;Rent;Apartment;White;English
Less than $10,000;Male;Single, never married;18 thru 24;Grad Study;Student, HS or College;One to three years;Not Married;One;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;55 thru 64;College graduate;Retired;More than ten years;No;Two;None;Own;House;Hispanic;English
$30,000 to $39,999;Male;Single, never married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Live with Parents/Family;House;Black;English
$25,000 to $29,999;Male;Divorced or separated;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$30,000 to $39,999;Male;Living together, not married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$10,000 to $14,999;Female;Living together, not married;18 thru 24;Graduated high school;Clerical/Service Worker;Less than one year;Not Married;Two;None;Rent;Apartment;Pacific Islander;English
$25,000 to $29,999;Male;Single, never married;18 thru 24;College graduate;Professional/Managerial;Less than one year;Not Married;Three;None;Rent;Apartment;White;English
$20,000 to $24,999;Male;Single, never married;45 thru 54;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Single, never married;25 thru 34;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Four;None;Live with Parents/Family;House;Asian;English
$10,000 to $14,999;Female;Divorced or separated;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Own;House;Asian;English
$15,000 to $19,999;Male;Single, never married;35 thru 44;College graduate;Clerical/Service Worker;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Male;Living together, not married;25 thru 34;1 to 3 years of college;Homemaker;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;Graduated high school;Professional/Managerial;Four to six years;Not Married;Two;None;NA;NA;White;Other
$25,000 to $29,999;Male;Single, never married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;NA;White;English
$40,000 to $49,999;Male;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;No;Seven;One;Rent;Apartment;Asian;English
$30,000 to $39,999;Male;Single, never married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;One;None;Own;House;White;English
Less than $10,000;Male;Single, never married;18 thru 24;1 to 3 years of college;Student, HS or College;One to three years;Not Married;Two;None;Rent;Apartment;White;English
Less than $10,000;Male;Married;18 thru 24;1 to 3 years of college;Student, HS or College;More than ten years;Not Married;One;None;Rent;House;American Indian;English
$15,000 to $19,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;Apartment;Black;English
$15,000 to $19,999;Female;Living together, not married;18 thru 24;Graduated high school;Clerical/Service Worker;Four to six years;Not Married;Two;None;Rent;Apartment;Hispanic;English
$20,000 to $24,999;Male;Divorced or separated;55 thru 64;1 to 3 years of college;Retired;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Two;None;Rent;House;White;English
$50,000 to $74,999;Male;Married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Asian;English
$50,000 to $74,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;Yes;Three;Two;Own;House;White;English
$50,000 to $74,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Not Married;Two;None;Rent;House;White;English
$50,000 to $74,999;Female;Living together, not married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Three;None;Live with Parents/Family;Other;White;English
$75,000 or more;Female;Single, never married;18 thru 24;College graduate;Professional/Managerial;More than ten years;Not Married;Four;None;Own;House;Other;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Two;None;Rent;Apartment;White;English
$30,000 to $39,999;Male;Single, never married;25 thru 34;NA;Professional/Managerial;More than ten years;Not Married;Three;None;Rent;Apartment;White;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;One to three years;Not Married;Four;None;Rent;Apartment;Asian;Other
$25,000 to $29,999;Female;Living together, not married;25 thru 34;College graduate;Professional/Managerial;Four to six years;Not Married;Two;None;Rent;Apartment;White;English
$15,000 to $19,999;Female;Married;18 thru 24;Graduated high school;Clerical/Service Worker;Four to six years;Not Married;Four;None;Rent;Other;White;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$40,000 to $49,999;Female;NA;25 thru 34;College graduate;Professional/Managerial;Four to six years;Not Married;One;None;Rent;Apartment;White;English
$30,000 to $39,999;Female;Living together, not married;18 thru 24;College graduate;Clerical/Service Worker;Less than one year;Not Married;Two;None;Rent;House;White;English
$40,000 to $49,999;Male;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;No;Two;None;Own;House;White;English
$40,000 to $49,999;Female;Divorced or separated;35 thru 44;College graduate;Professional/Managerial;More than ten years;Not Married;One;None;Rent;Apartment;White;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Student, HS or College;One to three years;Not Married;Three;None;Rent;Apartment;White;English
$25,000 to $29,999;Female;Living together, not married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;One to three years;No;Two;None;Rent;Other;Asian;English
$20,000 to $24,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Clerical/Service Worker;Seven to ten years;Not Married;Two;None;Rent;Apartment;American Indian;English
$40,000 to $49,999;Male;Single, never married;35 thru 44;College graduate;Professional/Managerial;More than ten years;Not Married;Two;None;Rent;House;White;English
$50,000 to $74,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Two;None;Rent;House;White;English
$20,000 to $24,999;Female;Divorced or separated;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Four;Three;Rent;House;Black;English
$25,000 to $29,999;Female;Married;18 thru 24;1 to 3 years of college;Professional/Managerial;Four to six years;Yes;Two;None;Rent;Apartment;Black;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;NA;None;Live with Parents/Family;NA;White;English
$15,000 to $19,999;Male;Divorced or separated;35 thru 44;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Six;Two;Rent;House;Hispanic;English
$50,000 to $74,999;Female;Single, never married;45 thru 54;Grad Study;Professional/Managerial;More than ten years;Not Married;Two;None;Own;House;White;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Clerical/Service Worker;More than ten years;Not Married;Eight;One;Rent;House;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Homemaker;More than ten years;Not Married;Four;Two;Rent;NA;Hispanic;Spanish
Less than $10,000;Male;Single, never married;18 thru 24;Grad Study;Factory Worker/Laborer/Driver;NA;Not Married;Nine or more;Six;Live with Parents/Family;House;Hispanic;Spanish
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;No;Four;Two;Own;NA;Hispanic;English
$20,000 to $24,999;Male;Married;45 thru 54;Grades 9 to 11;Sales Worker;More than ten years;Yes;Five;Three;Rent;Apartment;Hispanic;English
Less than $10,000;Male;Single, never married;25 thru 34;College graduate;Unemployed;NA;Not Married;Four;Two;Rent;House;Hispanic;Spanish
$30,000 to $39,999;Female;Single, never married;25 thru 34;College graduate;Professional/Managerial;Seven to ten years;Not Married;Three;None;Own;House;Hispanic;Spanish
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;House;Hispanic;English
$15,000 to $19,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Unemployed;More than ten years;Not Married;Five;None;Live with Parents/Family;House;Hispanic;English
$10,000 to $14,999;Male;Widowed;55 thru 64;1 to 3 years of college;Retired;Seven to ten years;Not Married;Six;None;NA;House;American Indian;English
$10,000 to $14,999;Male;Married;18 thru 24;1 to 3 years of college;Factory Worker/Laborer/Driver;Four to six years;No;Seven;Three;Live with Parents/Family;Apartment;Hispanic;Spanish
$15,000 to $19,999;Male;Married;65 and Over;Grade 8 or less;Factory Worker/Laborer/Driver;More than ten years;No;Two;None;Own;House;Hispanic;Spanish
$20,000 to $24,999;Male;Married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;Four to six years;Yes;Five;None;Rent;House;Hispanic;Spanish
$50,000 to $74,999;Female;NA;35 thru 44;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Five;One;Own;House;Hispanic;Spanish
Less than $10,000;Female;Married;45 thru 54;Grades 9 to 11;Factory Worker/Laborer/Driver;Four to six years;Yes;Five;Two;Rent;Apartment;Hispanic;Spanish
$10,000 to $14,999;Male;Living together, not married;35 thru 44;Graduated high school;Sales Worker;More than ten years;No;One;None;Rent;Apartment;Hispanic;Spanish
$20,000 to $24,999;Female;Married;18 thru 24;Graduated high school;Homemaker;More than ten years;No;Four;Two;Rent;Apartment;Hispanic;English
$20,000 to $24,999;Female;Married;25 thru 34;Grades 9 to 11;Clerical/Service Worker;More than ten years;Yes;Four;None;Rent;Other;Hispanic;English
$40,000 to $49,999;Female;Married;25 thru 34;Graduated high school;Professional/Managerial;More than ten years;Yes;Four;Two;Rent;House;Hispanic;English
$10,000 to $14,999;Male;Living together, not married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Yes;Three;None;Rent;House;Hispanic;English
Less than $10,000;Male;Married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;Four to six years;Yes;Two;None;Rent;Apartment;Hispanic;English
$20,000 to $24,999;Male;Married;45 thru 54;Graduated high school;Professional/Managerial;Seven to ten years;Yes;Four;None;Own;House;Hispanic;English
$40,000 to $49,999;Male;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Yes;Four;Two;Rent;House;Hispanic;English
$20,000 to $24,999;Female;Married;25 thru 34;College graduate;NA;More than ten years;Yes;Five;Four;Own;House;Hispanic;Spanish
$40,000 to $49,999;Male;Single, never married;18 thru 24;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Seven;One;Live with Parents/Family;House;Hispanic;Other
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Three;Two;Live with Parents/Family;House;Black;English
$30,000 to $39,999;Female;Married;18 thru 24;Graduated high school;Professional/Managerial;More than ten years;Yes;Two;None;Own;Condominium;Hispanic;English
$10,000 to $14,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Apartment;Hispanic;Spanish
$50,000 to $74,999;Female;Single, never married;18 thru 24;1 to 3 years of college;Clerical/Service Worker;More than ten years;Not Married;Five;One;Live with Parents/Family;House;Hispanic;Spanish
$20,000 to $24,999;Female;Married;25 thru 34;Graduated high school;Homemaker;More than ten years;No;Four;Two;Rent;House;Hispanic;English
$50,000 to $74,999;Male;Married;35 thru 44;Grad Study;Professional/Managerial;More than ten years;No;Three;None;Own;House;Hispanic;English
Less than $10,000;Female;Married;55 thru 64;Grade 8 or less;Homemaker;More than ten years;No;Two;None;Own;House;Hispanic;Spanish
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Five;Three;Rent;Other;Hispanic;English
$30,000 to $39,999;Male;Married;35 thru 44;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Five;None;Rent;Other;Hispanic;English
Less than $10,000;Female;Married;25 thru 34;Grad Study;Clerical/Service Worker;Seven to ten years;Yes;Three;One;Rent;Apartment;Hispanic;English
Less than $10,000;Male;Divorced or separated;35 thru 44;Grades 9 to 11;Factory Worker/Laborer/Driver;Seven to ten years;Not Married;Two;None;Live with Parents/Family;Apartment;Hispanic;Spanish
Less than $10,000;Female;Married;18 thru 24;Grades 9 to 11;Student, HS or College;More than ten years;No;Four;Two;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Male;Divorced or separated;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Four;None;Live with Parents/Family;House;Hispanic;English
$30,000 to $39,999;Female;Married;25 thru 34;Graduated high school;Clerical/Service Worker;More than ten years;Yes;Four;Two;Rent;Condominium;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Two;One;Live with Parents/Family;House;Hispanic;English
$15,000 to $19,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Six;Five;Own;House;Hispanic;English
Less than $10,000;Female;Married;35 thru 44;Grade 8 or less;Homemaker;More than ten years;No;Seven;Three;Own;Other;Asian;NA
$40,000 to $49,999;Female;Married;35 thru 44;Graduated high school;Professional/Managerial;More than ten years;Yes;Five;Three;Own;House;Hispanic;Spanish
Less than $10,000;Male;Married;25 thru 34;Graduated high school;Sales Worker;More than ten years;Yes;Nine or more;Two;Rent;House;Hispanic;English
$50,000 to $74,999;Female;Single, never married;14 thru 17;Grades 9 to 11;Clerical/Service Worker;More than ten years;Not Married;Six;One;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Living together, not married;14 thru 17;Grade 8 or less;Student, HS or College;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;Hispanic;English
$75,000 or more;Female;Married;35 thru 44;1 to 3 years of college;Homemaker;More than ten years;No;Five;Two;Own;House;Hispanic;English
$50,000 to $74,999;Female;Married;25 thru 34;College graduate;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Hispanic;English
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Five;Two;Live with Parents/Family;House;Hispanic;English
$10,000 to $14,999;Male;Married;18 thru 24;Grade 8 or less;Factory Worker/Laborer/Driver;Seven to ten years;Yes;Five;One;Rent;House;Hispanic;Spanish
$10,000 to $14,999;Female;Married;35 thru 44;NA;Homemaker;Seven to ten years;Yes;Nine or more;Five;Own;House;Hispanic;Spanish
$40,000 to $49,999;Female;Married;35 thru 44;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Yes;Six;Four;Own;House;Hispanic;Spanish
$20,000 to $24,999;Male;Single, never married;25 thru 34;Grades 9 to 11;Factory Worker/Laborer/Driver;One to three years;Not Married;Five;None;Rent;House;Hispanic;Spanish
Less than $10,000;Female;Single, never married;25 thru 34;Graduated high school;Homemaker;Seven to ten years;Not Married;Four;Three;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Male;Single, never married;14 thru 17;Graduated high school;Clerical/Service Worker;Four to six years;Not Married;Five;Three;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Married;25 thru 34;College graduate;Professional/Managerial;One to three years;Yes;Five;None;Rent;Apartment;Hispanic;Spanish
Less than $10,000;Female;Divorced or separated;18 thru 24;1 to 3 years of college;Sales Worker;More than ten years;Not Married;Nine or more;Four;Live with Parents/Family;House;Hispanic;English
$20,000 to $24,999;Male;Single, never married;18 thru 24;1 to 3 years of college;Unemployed;Seven to ten years;Not Married;NA;None;Live with Parents/Family;House;Hispanic;English
Less than $10,000;Female;Married;25 thru 34;Graduated high school;Factory Worker/Laborer/Driver;Seven to ten years;Yes;NA;None;Rent;Apartment;Hispanic;Spanish
$25,000 to $29,999;Female;Single, never married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Not Married;Three;Two;Rent;Apartment;Hispanic;English
Less than $10,000;Male;Single, never married;35 thru 44;Graduated high school;Unemployed;More than ten years;Not Married;One;None;Rent;NA;Black;English
$25,000 to $29,999;Male;Single, never married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;One to three years;Not Married;One;None;Own;House;Hispanic;Other
$15,000 to $19,999;Male;Single, never married;18 thru 24;Graduated high school;Factory Worker/Laborer/Driver;More than ten years;Not Married;Three;None;Live with Parents/Family;House;Hispanic;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Grades 9 to 11;Factory Worker/Laborer/Driver;More than ten years;Not Married;Four;None;Live with Parents/Family;House;Hispanic;English
$20,000 to $24,999;Male;Single, never married;25 thru 34;College graduate;Factory Worker/Laborer/Driver;More than ten years;Not Married;One;None;Rent;Condominium;Hispanic;English
$50,000 to $74,999;Male;Married;25 thru 34;1 to 3 years of college;Professional/Managerial;More than ten years;Yes;Four;Two;Own;House;Hispanic;Spanish
$20,000 to $24,999;Female;Widowed;65 and Over;1 to 3 years of college;Retired;More than ten years;Not Married;NA;None;Own;House;Hispanic;English
Less than $10,000;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Five;None;Live with Parents/Family;House;Hispanic;English
$10,000 to $14,999;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;Seven to ten years;Not Married;NA;None;Rent;Apartment;Hispanic;Spanish
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Two;Two;Own;Condominium;Hispanic;English
$50,000 to $74,999;Female;Married;45 thru 54;Graduated high school;Professional/Managerial;Seven to ten years;Yes;Two;None;Own;Condominium;Hispanic;English
$25,000 to $29,999;Female;Married;25 thru 34;Graduated high school;Sales Worker;More than ten years;Yes;Five;Three;Rent;House;Hispanic;Spanish
$40,000 to $49,999;Female;Married;25 thru 34;1 to 3 years of college;Student, HS or College;More than ten years;Yes;Four;Two;Own;House;Hispanic;English
$15,000 to $19,999;Female;Single, never married;18 thru 24;Graduated high school;Professional/Managerial;Seven to ten years;Not Married;Seven;Three;Rent;House;Hispanic;Spanish
Less than $10,000;Male;Single, never married;18 thru 24;Graduated high school;Sales Worker;More than ten years;Not Married;Three;None;Own;House;Hispanic;Spanish
$25,000 to $29,999;Female;Married;35 thru 44;Grades 9 to 11;NA;More than ten years;Yes;Four;None;Own;House;Hispanic;Spanish
Less than $10,000;Female;Single, never married;14 thru 17;Grades 9 to 11;Student, HS or College;More than ten years;Not Married;Eight;Six;Live with Parents/Family;Apartment;Hispanic;Spanish
$10,000 to $14,999;Female;Married;25 thru 34;Grades 9 to 11;Homemaker;One to three years;No;Five;None;Live with Parents/Family;House;Hispanic;English
